ES0031408111422004VY0F;01/01/2020;0;0,092;R
ES0031408111422004VY0F;01/01/2020;1;0,138;R
ES0031408111422004VY0F;01/01/2020;2;0,154;R
ES0031408111422004VY0F;01/01/2020;3;0,127;R
ES0031408111422004VY0F;01/01/2020;4;0,098;R
ES0031408111422004VY0F;01/01/2020;5;0,093;R
ES0031408111422004VY0F;01/01/2020;6;0,104;R
ES0031408111422004VY0F;01/01/2020;7;0,102;R
ES0031408111422004VY0F;01/01/2020;8;0,095;R
ES0031408111422004VY0F;01/01/2020;9;0,088;R
ES0031408111422004VY0F;01/01/2020;10;0,087;R
ES0031408111422004VY0F;01/01/2020;11;0,098;R
ES0031408111422004VY0F;01/01/2020;12;0,099;R
ES0031408111422004VY0F;01/01/2020;13;0,089;R
ES0031408111422004VY0F;01/01/2020;14;0,167;R
ES0031408111422004VY0F;01/01/2020;15;0,139;R
ES0031408111422004VY0F;01/01/2020;16;0,112;R
ES0031408111422004VY0F;01/01/2020;17;0,095;R
ES0031408111422004VY0F;01/01/2020;18;0,094;R
ES0031408111422004VY0F;01/01/2020;19;0,092;R
ES0031408111422004VY0F;01/01/2020;20;0,103;R
ES0031408111422004VY0F;01/01/2020;21;0,102;R
ES0031408111422004VY0F;01/01/2020;22;0,095;R
ES0031408111422004VY0F;01/01/2020;23;0,09;R
ES0031408111422004VY0F;02/01/2020;0;0,091;R
ES0031408111422004VY0F;02/01/2020;1;0,099;R
ES0031408111422004VY0F;02/01/2020;2;0,156;R
ES0031408111422004VY0F;02/01/2020;3;0,157;R
ES0031408111422004VY0F;02/01/2020;4;0,102;R
ES0031408111422004VY0F;02/01/2020;5;0,098;R
ES0031408111422004VY0F;02/01/2020;6;0,105;R
ES0031408111422004VY0F;02/01/2020;7;0,102;R
ES0031408111422004VY0F;02/01/2020;8;0,089;R
ES0031408111422004VY0F;02/01/2020;9;0,089;R
ES0031408111422004VY0F;02/01/2020;10;0,353;R
ES0031408111422004VY0F;02/01/2020;11;0,347;R
ES0031408111422004VY0F;02/01/2020;12;0,27;R
ES0031408111422004VY0F;02/01/2020;13;0,148;R
ES0031408111422004VY0F;02/01/2020;14;0,12;R
ES0031408111422004VY0F;02/01/2020;15;0,169;R
ES0031408111422004VY0F;02/01/2020;16;0,134;R
ES0031408111422004VY0F;02/01/2020;17;0,109;R
ES0031408111422004VY0F;02/01/2020;18;0,097;R
ES0031408111422004VY0F;02/01/2020;19;0,088;R
ES0031408111422004VY0F;02/01/2020;20;0,088;R
ES0031408111422004VY0F;02/01/2020;21;0,099;R
ES0031408111422004VY0F;02/01/2020;22;0,1;R
ES0031408111422004VY0F;02/01/2020;23;0,09;R
ES0031408111422004VY0F;03/01/2020;0;0,088;R
ES0031408111422004VY0F;03/01/2020;1;0,086;R
ES0031408111422004VY0F;03/01/2020;2;0,099;R
ES0031408111422004VY0F;03/01/2020;3;0,097;R
ES0031408111422004VY0F;03/01/2020;4;0,17;R
ES0031408111422004VY0F;03/01/2020;5;0,126;R
ES0031408111422004VY0F;03/01/2020;6;0,095;R
ES0031408111422004VY0F;03/01/2020;7;0,101;R
ES0031408111422004VY0F;03/01/2020;8;0,098;R
ES0031408111422004VY0F;03/01/2020;9;0,086;R
ES0031408111422004VY0F;03/01/2020;10;0,086;R
ES0031408111422004VY0F;03/01/2020;11;0,09;R
ES0031408111422004VY0F;03/01/2020;12;0,097;R
ES0031408111422004VY0F;03/01/2020;13;0,095;R
